"title","artist","mood","genre","activity","branch","tempo"
"Halo","Beyoncé","comfort","pop","unwind","calm","mid"
"Uptown Funk","Mark Ronson ft. Bruno Mars","uplift","funk","workout","uplift","fast"
"24K Magic","Bruno Mars","uplift","funk","workout","uplift","fast"
"Locked Out of Heaven","Bruno Mars","uplift","rock","workout","uplift","fast"
"Talking To The Moon","Bruno Mars","wistful","ballad","unwind","calm","slow"
"Pretender","Official髭男dism","comfort","indie","unwind","calm","mid"
"KICK BACK","米津玄師","uplift","rock","workout","uplift","fast"
"밤하늘의 별을","경서","comfort","ballad","unwind","calm","slow"
"널 사랑하지 않아","어반자카파","wistful","ballad","unwind","calm","slow"
"너였다면","정승환","wistful","ballad","unwind","calm","slow"
"비도 오고 그래서","헤이즈","comfort","indie","unwind","calm","mid"
"We Don't Talk Anymore","Charlie Puth & Selena Gomez","wistful","pop","unwind","calm","mid"
"Attention","Charlie Puth","comfort","pop","unwind","calm","mid"
"See You Again","Wiz Khalifa ft. Charlie Puth","wistful","hiphop","unwind","calm","mid"
"Peaches","Justin Bieber","comfort","pop","unwind","calm","mid"
"Love Yourself","Justin Bieber","comfort","acoustic","unwind","calm","mid"
"Bad Habits","Ed Sheeran","uplift","pop","workout","uplift","fast"
"Demons","Imagine Dragons","wistful","rock","unwind","calm","mid"
"Believer","Imagine Dragons","uplift","rock","workout","uplift","fast"
"Radioactive","Imagine Dragons","uplift","rock","workout","uplift","fast"
"Counting Stars","OneRepublic","uplift","pop","workout","uplift","fast"
"Apologize","OneRepublic","wistful","ballad","unwind","calm","slow"
"Good Time","OWL CITY & Carly Rae Jepsen","uplift","pop","unwind","uplift","mid"
"Call Me Maybe","Carly Rae Jepsen","uplift","pop","unwind","uplift","mid"
"Sugar","Maroon 5","uplift","pop","unwind","uplift","mid"
"Memories","Maroon 5","comfort","ballad","unwind","calm","slow"
